wojewodztwo,powiat,nazwa_placowki,typ_placowki,publiczna_niepubliczna,adres,kod_pocztowy,miejscowosc,telefon,email,liczba_miejsc,dyrektor,organ_prowadzacy,zrodlo_danych,data_stanu
mazowieckie,Warszawa,Rodzinny Dom Dziecka nr 4,rodzinna,publiczna,Duczki ul. Willowa 18 05-200 Wołomin iwonabajkowska@outlook.com,05-200,,8,501424176,,26.10.2009 r. Decyzja Nr 41/2009 ZEZWOLENIE,,Wykaz_adresowy_placowek_mazowieckie.xls,2025-11-07
mazowieckie,Warszawa,"Placówka opiekuńczo-Wychowawcza typu rodzinnego ""Lorien"" prowadzona przez Caritas Diecezji Warszawsko-Praskiej podmiot prowadzący: Caritas Diecezji Warszawsko-Praskiej ul. Kawęczyńska 49 03-775 Warszawa",rodzinna,publiczna,03-281 Urle ul. Poniatowskiego 1 bud. 5 urle@caritas.pl,03-281,,8,881512212,,2.10.2025 r. Decyzja Nr 143/2025 ZEZWOLENIE,,Wykaz_adresowy_placowek_mazowieckie.xls,2025-11-07
mazowieckie,Siedlce,"Placówka Opiekuńczo-Wychowawcza - Rodzina SOS 1 podmiot prowadzący: Stowarzyszenie SOS Wioski Dziecięce w Polsce 02-737 Warszawa, ul. Niedźwiedzia 39",rodzinna,niepubliczna,08-110 Siedlce ul.Dzieci Zamojszczyzny 37D siedlce@sos-wd.org,08-110,,0,(25) 643 40 77 535 604 271 (dyr.) 882 824 791,,23.12.2015 r. Decyzja Nr 3188/2015 ZEZWOLENIE (zawieszenie od 1.07.2025 r.),,Wykaz_adresowy_placowek_mazowieckie.xls,2025-11-07
mazowieckie,,Placówka Opiekuńczo-Wychowawcza - Rodzina SOS 2,rodzinna,niepubliczna,ul. Dzieci Zamojszczyzny 37/1,,,6,,,23.12.2015 r. Decyzja Nr 3189/2015 ZEZWOLENIE,,Wykaz_adresowy_placowek_mazowieckie.xls,2025-11-07
mazowieckie,,Placówka Opiekuńczo-Wychowawcza - Rodzina SOS 4,rodzinna,niepubliczna,ul. Dzieci Zamojszczyzny 37/3,,,6,,,23.12.2015 r. Decyzja Nr 3191/2015 ZEZWOLENIE,,Wykaz_adresowy_placowek_mazowieckie.xls,2025-11-07
mazowieckie,,Placówka Opiekuńczo-Wychowawcza - Rodzina SOS 5,rodzinna,niepubliczna,ul. Dzieci Zamojszczyzny 37/4,,,6,,,23.12.2015 r. Decyzja Nr 3192/2015 ZEZWOLENIE (zawieszenie od 1.01.2024 r.; wznowienie od 22.11.2024 r.),,Wykaz_adresowy_placowek_mazowieckie.xls,2025-11-07
mazowieckie,,Placówka Opiekuńczo-Wychowawcza - Rodzina SOS 6,rodzinna,niepubliczna,ul. Dzieci Zamojszczyzny 37/5,,,4,,,23.12.2015 r. Decyzja Nr 3193/2015 ZEZWOLENIE,,Wykaz_adresowy_placowek_mazowieckie.xls,2025-11-07
mazowieckie,,Placówka Opiekuńczo-Wychowawcza - Rodzina SOS 10,rodzinna,niepubliczna,ul. Dzieci Zamojszczyzny 37/9,,,6,,,23.12.2015 r. Decyzja Nr 3197/2015 ZEZWOLENIE,,Wykaz_adresowy_placowek_mazowieckie.xls,2025-11-07
mazowieckie,,Placówka Opiekuńczo-Wychowawcza - Rodzina SOS 11,rodzinna,niepubliczna,ul. Dzieci Zamojszczyzny 37/10,,,6,,,23.12.2015 r. Decyzja Nr 3198/2015 ZEZWOLENIE,,Wykaz_adresowy_placowek_mazowieckie.xls,2025-11-07
mazowieckie,,Placówka Opiekuńczo-Wychowawcza - Rodzina SOS 12,rodzinna,niepubliczna,ul. Dzieci Zamojszczyzny 37/11,,,6,,,23.12.2015 r. Decyzja Nr 3199/2015 ZEZWOLENIE (zawieszenie 1.10.2021 r.; wznowienie od 11.01.2025 r.),,Wykaz_adresowy_placowek_mazowieckie.xls,2025-11-07
mazowieckie,,Placówka Opiekuńczo-Wychowawcza - Rodzina SOS 14,rodzinna,niepubliczna,ul. 11 Listopada 43D/62,,,5,,,23.12.2015 r. Decyzja Nr 3201/2015 ZEZWOLENIE,,Wykaz_adresowy_placowek_mazowieckie.xls,2025-11-07
mazowieckie,Warszawa,"Interwencyjny Ośrodek Preadopcyjny podmiot prowadzacy: Fundacja Rodzin Adopcyjnych, 01-827 Warszawa, ul. Płatnicza 83",preadopcyjna,niepubliczna,05-400 Otwock ul. Batorego 44 dorota.polanska@adopcja.org.pl,05-400,,20,(22) 779 48 38; 788 20 02 w.244,,7.08.2012 r. Decyzja Nr 1531/2012 ZEZWOLENIE,,Wykaz_adresowy_placowek_mazowieckie.xls,2025-11-07
mazowieckie,Ciechanów,"Regionalna Placówka Opiekuńczo-Terapeutyczna ""Odzyskać Radość"" podmiot prowadzący: Fundacja Odzyskać Radość, Bogurzyn 87, 06-521 Wiśniewo",opiekunczo-terapeutyczna,niepubliczna,Kraszewo-Czubaki 23B 09-140 Raciąż agnieszka.kujawa@odzyskacradosc.pl,09-140,,32,881 969 904 889 876 883 (22) 749 10 85,,10.11.2021 r. Decyzja Nr 239/2021 ZEZWOLENIE,,Wykaz_adresowy_placowek_mazowieckie.xls,2025-11-07
slaskie,będziński,Placówka Opiekuńczo Wychowawcza nr 1 w Sarnowie,socjalizacyjna,,42-512 Sarnów ul. Wiejska 104/7,42-512,,32 267 21 46,capow.sarnow@powiat.bedzin.pl,10,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,będziński,Placówka Opiekuńczo Wychowawcza nr 2 w Sarnowie,socjalizacyjna,,42-512 Sarnów ul. Wiejska 104/9,42-512,,32 267 21 46,capow.sarnow@powiat.bedzin.pl,10,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,będziński,Placówka Opiekuńczo Wychowawcza nr 3 w Sarnowie,socjalizacyjna,,42-512 Sarnów ul. Wiejska 104/10,42-512,,32 267 21 46,capow.sarnow@powiat.bedzin.pl,10,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,będziński,Placówka Opiekuńczo Wychowawcza nr 4 w Będzinie,socjalizacyjna,,42-500 Będzin ul. Żwirki i Wigury 32a/18,42-500,,32 729 54 52,capow.sarnow@powiat.bedzin.pl,13,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,będziński,Placówka Opiekuńczo Wychowawcza nr 5 w Psarach,socjalizacyjna,,42-512 Psary ul. Łączna 21,42-512,,785 19 35 11,capow.sarnow@powiat.bedzin.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,będziński,Placówka Opiekuńczo Wychowawcza nr 6 w Będzinie,socjalizacyjna,,42-500 Będzin ul. Małachowskiego14/9,42-500,,32 761 50 23,capow.sarnow@powiat.bedzin.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,będziński,Placówka Opiekuńczo Wychowawcza nr 7 w Siewierzu,socjalizacyjna,,42-470 Siewierz ul. Kościuszki 15,42-470,,32 674 10 12,capow.sarnow@powiat.bedzin.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,bielski,Ośrodek Pomocy Dziecku i Rodzinie,socjalizacyjna,,43- 502 Czechowice Dziedzice ul. Legionów 81,43-502,,32 215 27 73,opdir@op.pl,30,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Bielsko Biała,Placówka Opiekuńczo Wychowawcza nr 1,socjalizacyjna+interwencyjna,,43- 300 Bielsko Biała ul. Lompy 9/2,43-300,,33 8117343,sekretariat@copow.bielsko.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Bielsko Biała,Placówka Opiekuńczo Wychowawcza nr 2,socjalizacyjna+interwencyjna,,43- 300 Bielsko Biała ul. Lompy 9/3,43-300,,33 8117343,sekretariat@copow.bielsko.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Bielsko Biała,Placówka Opiekuńczo Wychowawcza nr 3,socjalizacyjna+interwencyjna,,43- 300 Bielsko Biała ul. Pocztowa 24/1,43-300,,33 8117343,sekretariat@copow.bielsko.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Bielsko Biała,Placówka Opiekuńczo Wychowawcza nr 4,socjalizacyjna+interwencyjna,,43- 300 Bielsko Biała ul. Pocztowa 24/2,43-300,,33 8117343,sekretariat@copow.bielsko.pl,10,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Bielsko Biała,"Placówka Opiekuńczo Wychowawcza nr 5 ""Słoneczny Dom"" w Bielsku Białej",socjalizacyjna,,43- 300 Bielsko Biała ul. Cygańska 12,43-300,,33 8117343,sekretariat@copow.bielsko.pl,12,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Bielsko Biała,"Zespół Placówek Opiekuńczo Wychowawczych ""Pogotowie Opiekuńcze""",socjalizacyjna,,43- 300 Bielsko Biała ul. Lompy 7,43-300,,33 8117343,sekretariat@copow.bielsko.pl,,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Bytom,Dom Dziecka Nr 1 im. Jana Pawła II,socjalizacyjna,,41- 908 Bytom ul. Matki Ewy 5,41-908,,32 281 16 93,domdzieckanr1miechowice@wp.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Bytom,Placówka Opiekuńczo Wychowawcza nr 4,socjalizacyjna,,41- 923 Bytom ul. Matki Ewy 5a,41-923,,32 281 16 93,domdzieckanr1miechowice@wp.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Bytom,Placówka Opiekuńczo Wychowawcza nr 5,socjalizacyjna,,41- 923 Bytom ul. Matki Ewy 5b,41-923,,32 281 16 93,domdzieckanr1miechowice@wp.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Bytom,Placówka Opiekuńczo Wychowawcza nr 6,socjalizacyjna,,41- 923 Bytom ul. Matki Ewy 5c,41-923,,32 281 16 93,domdzieckanr1miechowice@wp.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Bytom,Placówka Opiekuńczo Wychowawcza nr 7,socjalizacyjna,,41- 923 Bytom ul. Matki Ewy 5d,41-923,,32 281 16 93,domdzieckanr1miechowice@wp.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Bytom,Placówka Opiekuńczo Wychowawcza nr 1 w Bytomiu,socjalizacyjna,,41- 902 Bytom ul. Moniuszki 16/7,41-902,,32 281 35 59,cuw.pow.bytom@wp.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Bytom,Placówka Opiekuńczo Wychowawcza nr 2 w Bytomiu,socjalizacyjna,,ul. Piekarska 77/3 41- 902 Bytom,41-902,,32 281 35 59,cuw.pow.bytom@wp.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Bytom,Placówka Opiekuńczo Wychowawcza nr 3 w Bytomiu,socjalizacyjna,,41- 902 Bytom ul. Sądowa 5/10,41-902,,32 281 35 59,cuw.pow.bytom@wp.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Bytom,Placówka Opiekuńczo Wychowawcza nr 8,socjalizacyjna,,41- 902 Bytom ul. K. Miarki 13/5,41-902,,32 281 35 59,cuw.pow.bytom@wp.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Bytom,Placówka Opiekuńczo Wychowawcza nr 9,socjalizacyjna,,41- 902 Bytom ul. J. Piłsudskiego 6/3,41-902,,32 281 35 59,cuw.pow.bytom@wp.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Chorzów,Ośrodek Wsparcia Rodziny,socjalizacyjna+interwencyjna,,41- 503 Chorzów ul. Siemianowicka 58,41-503,,322411527,sekretariatddz@wp.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Chorzów,Placówka Opiekuńczo Wychowawcza nr 1,socjalizacyjna,,41- 500 Chorzów ul. Sobieskiego 20/3,41-500,,322411527,sekretariatddz@wp.pl,8,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Chorzów,Placówka Opiekuńczo Wychowawcza Nr 2,socjalizacyjna,,41- 500 Chorzów ul. Siemianowicka 60/1,41-500,,322411527,sekretariatddz@wp.pl,8,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Chorzów,Placówka Opiekuńczo Wychowawcza Nr 3,socjalizacyjna,,41- 500 Chorzów pl. Piastowski 8/2,41-500,,322411527,sekretariatddz@wp.pl,12,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Chorzów,Placówka Opiekuńczo Wychowawcza Nr 4,socjalizacyjna,,41- 500 Chorzów ul. Wolności 49/5,41-500,,322411527,sekretariatddz@wp.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,"Chorzów / Zgromadzenie Sióstr Miłosierdzia św. Karola Boromeusza Dom Generalny ul. Okrzei 27, 43 190 Mikołów","Placówka Opiekuńczo Wychowawcza Dom ""Radość """,socjalizacyjna,,40- 358 Katowice ul. Brynicy 14/1,40-358,,322569647,cow@sow wzrastanie.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,"Chorzów / Zgromadzenie Sióstr Miłosierdzia św. Karola Boromeusza Dom Generalny ul. Okrzei 27, 43 190 Mikołów","Placówka Opiekuńczo Wychowawcza Dom ""Słoneczna Rodzinka""",socjalizacyjna,,40- 358 Katowice ul. Brynicy 14/2,40-358,,322569647,cow@sow wzrastanie.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,cieszyński,Dom Dziecka w Cieszynie,socjalizacyjna,,"43- 400 Cieszyn, ul. Kraszewskiego 2",43-400,,33 857 79 07,domdziecka@domdziecka.kx.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,cieszyński,Dom Dziecka w Dzięgielowie,socjalizacyjna,,43- 445 Dzięgielów ul. Rolnicza 1,43-445,,33 852 91 35,domdziecka@domdziecka.kx.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,cieszyński,Ośrodek Pomocy Dziecku i Rodzinie Dom Dziecka w Międzyświeciu,socjalizacyjna,,43- 43-0 Skoczów Międzyświeć ul. Malinowa 4 mieszkanie: Zebrzydowice ul. Kochanowskiego 54,,,33 858 40 20,sekretariat@domdzieckamiedzyswiec.pl,30,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,cieszyński Stowarzyszenie SOS Wioski Dziecięce w Polsce,"""Sindbad"" Rodzinny Dom Czasowego Pobytu",socjalizacyjna+interwencyjna,,43- 450 Ustroń ul. Bernadka 38,43-450,,33 851 14 74,elzbieta.grabowska jablonska@sos wd.org,12,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Częstochowa Częstochowskie Towarzystwo Profilaktyki Społecznej z siedzibą w Częstochowie przy ul. Rejtana 7b,"Całodobowa Placówka Opiekuńczo Wychowawcza typu socjalizacyjnego ""Przystanek Bardo""",socjalizacyjna,,42-200 Częstochowa ul. Bardowskiego 27 B lok. 13/14,42-200,,343286272,biuro@cztps.eu,11,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Częstochowa Fundacja Pomocy Kobietom Eurohelp Częstochowa ul. Przemysłowa 9,Placówka Opiekuńczo – Wychowawcza „Słoneczna Przystań” w Częstochowie,socjalizacyjna,,42-202 Częstochowa ul. Przemysłowa 9,42-202,,884807508,slonecznaprzystan@eurohelp.com.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,"Częstochowa Stowarzyszenie Pomocy Dzieciom ze Środowisk Zagrożonych ""Amicus"" Częstochowa ul. Legionów 50","Placówka Opiekuńczo Wychowawcza ""Amicus Legionów""",socjalizacyjna,,42-200 Częstochowa ul. J. Skrzetuskiego 35A,42-200,,343601246,info@stowarzyszenie amicus.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,"Częstochowa Stowarzyszenie Pomocy Dzieciom ze Środowisk Zagrożonych ""Amicus"" Częstochowa ul. Legionów 50","Placówka Opiekuńczo Wychowawcza ""Amicus""",socjalizacyjna,,42-200 Częstochowa ul. Brata Alberta 36/40,42-200,,343601246,info@stowarzyszenie amicus.pl,13,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,"Częstochowa Stowarzyszenie Pomocy Dzieciom ze Środowisk Zagrożonych ""Amicus"" Częstochowa ul. Legionów 50","Placówka Opiekuńczo Wychowawcza ""Amicus Ludowa""",socjalizacyjna,,42-215 Częstochowa ul. Ludowa 100,42-215,,343601246,info@stowarzyszenie amicus.pl,12,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Częstochowa Stowarzyszenie Rotundus ul. Zabrzańska 6,Dom Wsparcia dla Dzieci i Młodzieży nr 2,socjalizacyjna,,42-200 Częstochowa ul. Gdyńska 14,42-200,,343284759,rtundus5@gmail.com,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Częstochowa Stowarzyszenie Rotundus ul. Zabrzańska 6,Dom Wsparcia Dla Dzieci i Młodzieży,socjalizacyjna,,42-200 Częstochowa ul. Zabrzańska 6,42-200,,343930023,rtundus5@gmail.com,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Częstochowa Zgromadzenie Sióstr św. Michała Archanioła ul. Ks. Br. Markiewicza 22 Miejsce Piastowe 38 430,"Katolicka Placówka Wychowawcza ,,Nasz Dom""",socjalizacyjna,,42-202 Częstochowa ul. Wręczycka 56,42-202,,343629134,czestochowa@michalitki.pl,12,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,częstochowski,Dom Dziecka w Chorzenicach,socjalizacyjna+interwencyjna,,42-270 Kłomnice Chorzenice ul. Główna 53,42-270,,34328922823,domdziecka@nso.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,częstochowski,"Dom dla Dzieci ""Słoneczny"" w Chorzenicach",socjalizacyjna,,42-270 Kłomnice Chorzenice ul. Parkowa 1,42-270,,34328922823,domdziecka@nso.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,częstochowski,"Dom dla Dzieci ""Promyk"" w Rędzinach",socjalizacyjna,,42-242-Rędziny ul. Miłosza 5,42-242,,34328922823,domdziecka@nso.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,częstochowski,Placówka Opiekuńczo Wychowawcza w Blachowni,socjalizacyjna+interwencyjna,,42-290 Blachownia ul. Sosnowa 12A,42-290,,34 327 55 24,pow.blachownia@poczta.onet.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,częstochowski,"Dom dla Dzieci ""Skałka""",socjalizacyjna,,42-200 Częstochowa ul. Aluminiowa 26,42-200,,34 327 55 24,pow.blachownia@poczta.onet.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,częstochowski,"Dom dla Dzieci ""Sosenka""",socjalizacyjna,,42-200 Częstochowa ul. Przejazdowa 98,42-200,,34 327 55 24,pow.blachownia@poczta.onet.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Dąbrowa Górnicza,"Placówka Opiekuńczo Wychowawcza ""Przystań""",socjalizacyjna,,41- 303 Dąbrowa Górnicz ul. Jasna 29/1,41-303,,728 951 436,powp@wpow.org.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Dąbrowa Górnicza,Placówka Opiekuńczo Wychowawcza nr 1,socjalizacyjna,,41- 303 Dąbrowa Górnicza ul. Jasna 29/2,41-303,,728 952 488,pow1@wpow.org.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Dąbrowa Górnicza,Placówka Opiekuńczo Wychowawcza nr 2,socjalizacyjna,,41- 303 Dąbrowa Górnicza ul. Ziołowa 28/1,41-303,,728 950 298,pow2@wpow.org.pl,10,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Dąbrowa Górnicza,Placówka Opiekuńczo Wychowawcza nr 3,socjalizacyjna,,41- 300 Dąbrowa Górnicza ul. Ziołowa 28/2,41-300,,728 959 789,pow3@wpow.org.pl,10,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Gliwice,Dom Dziecka nr 1,socjalizacyjna,,44-100 Gliwice ul. Toszecka 25,44-100,,32 231 46 22,dd1@cpz.gliwice.eu,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Gliwice,Dom Dziecka nr 2,socjalizacyjna,,44-100 Gliwice ul. Dworcowa 43-/2,44-100,,32 231 56 57,dd2@cpz.gliwice.eu,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Gliwice,Dom Dziecka nr 3 im. Astrid Lindgren,socjalizacyjna,,44-100 Gliwice ul. Mikołaja Kopernika 109,44-100,,32 231 42- 10,dd3@cpz.gliwice.eu,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Jastrzębie Zdrój,Placówka Opiekuńczo Wychowawcza Nr 1,socjalizacyjna,,"44-335 Jastrzębie Zdrój, ul. Opolska 7/1 2",44-335,,0 32 4767406,poczta@zow.jastrzebie.pl,12,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Jastrzębie Zdrój,Placówka Opiekuńczo Wychowawcza Nr 2,socjalizacyjna,,"44-335 Jastrzębie Zdrój, ul. Opolska 7/3",44-335,,0 32 4751652,poczta@zow.jastrzebie.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Jastrzębie Zdrój,Placówka Opiekuńczo Wychowawcza Nr 3,socjalizacyjna,,"44-335 Jastrzębie Zdrój, ul. Turystyczna 23",44-335,,0 32 4715120,poczta@zow.jastrzebie.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Jaworzno,Powiatowa Placówka Opiekuńczo Wychowawcza,socjalizacyjna+interwencyjna,,"43- 600 Jaworzno, ul. Hetmańska 21",43-600,,327629140,PPOW_jaw@wp.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Jaworzno,"Placówka Opiekuńczo Wychowawcza ""Dobry Dom""",socjalizacyjna,,43- 603 Jaworzno ul. Gustawa Morcinka 7,43-603,,327452626,PPOW_jaw@wp.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Katowice,Placówka Opiekuńczo Wychowawcza DOM 1,socjalizacyjna+interwencyjna,,40-041 Katowice ul. Plebiscytowa 46/3,40-041,,508 322 564,dom1@pow.katowice.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Katowice,Placówka Opiekuńczo Wychowawcza DOM 2,socjalizacyjna+interwencyjna,,40-041 Katowice ul. Plebiscytowa 46/4,40-041,,508 322 564,dom2@pow.katowice.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Katowice,Placówka Opiekuńczo Wychowawcza DOM 3,socjalizacyjna+interwencyjna,,40-041 Katowice ul. Plebiscytowa 46a/2,40-041,,508 322 564,dom3@pow.katowice.pl,10,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Katowice,Placówka Opiekuńczo Wychowawcza DOM 4,socjalizacyjna+interwencyjna,,40-035 Katowice ul. Jagiellońska 36/4,40-035,,795 568 833,dom4@pow.katowice.pl,12,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Katowice,Placówka Opiekuńczo Wychowawcza DOM 5,socjalizacyjna+interwencyjna,,40-038 Katowice ul. Rybnicka 1,40-038,,32 255 39 36,dom5@pow.katowice.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Katowice,Placówka Opiekuńczo Wychowawcza DOM 6,socjalizacyjna+interwencyjna,,40- 731 Katowice ul. Kaszubska 16/1,40-731,,32 252 62 07,dom6@pow.katowice.pl,11,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Katowice,Placówka Opiekuńczo Wychowawcza DOM 7,socjalizacyjna+interwencyjna,,40- 731 Katowice ul. Kaszubska 16/2,40-731,,32 252 62 07,dom7@pow.katowice.pl,11,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Katowice,Placówka Opiekuńczo Wychowawcza DOM 8,socjalizacyjna+interwencyjna,,40-097 Katowice ul. 3 Maja 36/4b,40-097,,502 771 350,dom8@pow.katowice.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Katowice,Placówka Opiekuńczo Wychowawcza DOM 9,socjalizacyjna+interwencyjna,,40- 584 Katowice ul. Brynowska 70a/1,40-584,,32 252 35 19,dom9@pow.katowice.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Katowice,Placówka Opiekuńczo Wychowawcza DOM 10,socjalizacyjna+interwencyjna,,40- 584 Katowice ul. Brynowska 70a/2,40-584,,32 252 35 19,dom10@pow.katowice.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Katowice,Placówka Opiekuńczo Wychowawcza DOM 11,socjalizacyjna+interwencyjna,,40-093 Katowice ul. Chopina 8/2a,40-093,,32 747 47 23,dom11@pow.katowice.pl,11,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,Katowice,Placówka Opiekuńczo Wychowawcza DOM 12,socjalizacyjna+interwencyjna,,40-097 Katowice ul. 3 Maja 25/8,40-097,,32 747 55 15,dom12@pow.katowice.pl,11,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,"Katowice / Zgromadzenie Sióstr Św. Jadwigi Prowincja Katowicka ul. Leopolda 1 3, 40 210 Katowice",Placówka Opiekuńczo Wychowawcza Nr 1 Zgromadzenia Sióstr Św. Jadwigi,socjalizacyjna,,40- 210 Katowice ul. Leopolda 2/3,40-210,,32 258 10 54,wspieranie w rozwoju@wp.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,"Katowice / Zgromadzenie Sióstr Św. Jadwigi Prowincja Katowicka ul. Leopolda 1 3, 40 210 Katowice",Placówka Opiekuńczo Wychowawcza Nr 2 Zgromadzenia Sióstr Św. Jadwigi,socjalizacyjna,,40- 210 Katowice ul. Leopolda 3/1,40-210,,32 258 10 54,wspieranie w rozwoju@wp.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,"Katowice / Zgromadzenie Sióstr Św. Jadwigi Prowincja Katowicka ul. Leopolda 1 3, 40 210 Katowice",Placówka Opiekuńczo Wychowawcza Nr 3 Zgromadzenia Sióstr Św. Jadwigi,socjalizacyjna,,40- 210 Katowice ul. Leopolda 3/2,40-210,,32 258 10 54,wspieranie w rozwoju@wp.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,kłobucki,Dom Dziecka im. J. Korczaka,socjalizacyjna,,42-100 Kłobuck ul. 11 Listopada 23,42-100,,34 310 00 31,domdziecka@powiatklobucki.pl,30,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
slaskie,kłobucki,Placówka Opiekuńczo Wychowawcza w Krzepicach,socjalizacyjna,,42-160 Krzepice ul. Aleksego Ryły 24a,42-160,,34 363 70 78,powkrzepice@powiatklobucki.pl,14,,,Rejestr_pieczy_slaskie_04.2021.xls,2021-04
